,N2,N5,N6,N7,N8,N9,N10,N11,N12,M1,M13,M3,M4,M5,M6,M7,M8,M10,M11,DH1,DH2,DH3,DH4,DH5,DH6,DH7,DH8,DH9,DH10,DH11,DH12
N2,0,0.0888877788998897,0.0727002206716484,0.0766810747761869,0.0519556192316196,0.0318792872601882,0.0418934389519787,0.077824695712867,0.0512421946735991,0.637360422588725,0.605784230371357,0.569155820900376,0.466290362289246,0.554483582195303,0.675957550022073,0.529170425343949,0.70393573325558,0.393140666692736,0.548596504271695,0.627646892973947,0.508338840225849,0.631543265391377,0.502512171349923,0.489626669518166,0.587032986195284,0.508309325654977,0.603530900496348,0.541481043079837,0.398781042717566,0.537786115921381,0.472180956862244
N5,0.0888877788998897,0,0.02951622717664,0.114594058156105,0.127485884883964,0.099978651896045,0.115748280906099,0.166105727102888,0.139520117783919,0.575672075541446,0.522684619518964,0.486114876357555,0.387094357450908,0.47101886615201,0.613686928365069,0.466658545498084,0.643422717185295,0.309233827176462,0.485525223335185,0.566326449358913,0.425179203620936,0.570347828596553,0.420406680693733,0.408700108154473,0.523919764984419,0.444797498673047,0.542715275590803,0.457753628023145,0.316584240140684,0.454903328445484,0.390276970734148
N6,0.0727002206716484,0.02951622717664,0,0.0982571672658223,0.109884217015402,0.0792428335389722,0.0980555000760164,0.148920239429954,0.122226915494118,0.599506280666745,0.538363262759841,0.500171105949311,0.406003015323259,0.485744144295254,0.636690531867075,0.490719839039397,0.660041107316283,0.322394613974662,0.510306060239519,0.590159120954956,0.436484741150081,0.593922355853923,0.433046700116697,0.420127749474442,0.548742438083413,0.463531915231325,0.563810358331011,0.469991511996896,0.329327100046679,0.472493874060888,0.403950269713608
N7,0.0766810747761869,0.114594058156105,0.0982571672658223,0,0.0938370060598681,0.0824660658064758,0.0406194555220693,0.0999028197704551,0.0829226742975593,0.607879087009278,0.62333177227134,0.58680810315136,0.469941126110866,0.573387195574791,0.643723008163714,0.507582721824531,0.666939985477126,0.411669289795644,0.537496784624161,0.569646239898709,0.527611347168996,0.597413844905261,0.512795818138157,0.508016104762591,0.573775468428642,0.498725982474964,0.563372345324404,0.559844571528024,0.410744521745256,0.555165441087099,0.482398105660196
N8,0.0519556192316196,0.127485884883964,0.109884217015402,0.0938370060598681,0,0.0315764113920007,0.0578088310206585,0.0524907394262744,0.0490783610554615,0.670639570008575,0.628653443335482,0.591780927367156,0.483401874576519,0.580955242558996,0.709512971323248,0.556204607244095,0.737144295664782,0.41714938765629,0.578426074769739,0.655207745862388,0.532327779634155,0.659385052175193,0.52147690764559,0.517074451495722,0.614644402473126,0.541011147282377,0.630109364508186,0.565134538267373,0.420409729323586,0.559890456025596,0.492566724159833
N9,0.0318792872601882,0.099978651896045,0.0792428335389722,0.0824660658064758,0.0315764113920007,0,0.0454452687815066,0.0720984212551887,0.0462695010565431,0.660854636309835,0.609442356795348,0.572537908732463,0.474208047888343,0.558596279115557,0.699700084025949,0.551406040757116,0.727379997201078,0.399138820779585,0.570878465624781,0.650087974519529,0.513072275595512,0.654062659840303,0.501820865915471,0.493170617618357,0.609361339007007,0.532010057463698,0.624944803234993,0.546746703415822,0.399722449567923,0.541883369266557,0.474047394697053
N10,0.0418934389519787,0.115748280906099,0.0980555000760164,0.0406194555220693,0.0578088310206585,0.0454452687815066,0,0.0663394951630227,0.0518194474500609,0.616286781053076,0.623720742008869,0.586903617076119,0.472160249683476,0.574207693796962,0.655211935364129,0.513390107296976,0.682768534902287,0.41436251416721,0.543479306863307,0.605818855543403,0.528479262451529,0.610152943066961,0.513862348918869,0.507739106669465,0.578961280602916,0.499271562492198,0.581576360151408,0.562068763403615,0.41211819091786,0.557161503495969,0.484566816362699
N11,0.077824695712867,0.166105727102888,0.148920239429954,0.0999028197704551,0.0524907394262744,0.0720984212551887,0.0663394951630227,0,0.0646538367847769,0.674468381234838,0.679088688310858,0.642487015410871,0.527320479826363,0.62948569764337,0.71289030212292,0.566026889028697,0.74085911625583,0.468925271575824,0.591486348294416,0.664461712850542,0.583778570235514,0.66878003852363,0.569151326254047,0.56289162394572,0.627540612470182,0.556729801801902,0.640809760540938,0.616739825285238,0.466497235074285,0.611769589434062,0.53922422433027
N12,0.0512421946735991,0.139520117783919,0.122226915494118,0.0829226742975593,0.0490783610554615,0.0462695010565431,0.0518194474500609,0.0646538367847769,0,0.648806247383916,0.628582678553373,0.595193584041976,0.494926912002313,0.599223250082099,0.687801996578352,0.514412646555496,0.716003683275632,0.424630391141573,0.557084985449926,0.628701633503955,0.53954731119875,0.617164004076406,0.538266659722631,0.534742695825415,0.589694079367317,0.541826969011667,0.61839276622753,0.575079749823536,0.43877943117882,0.575802270093982,0.5096377025737
M1,0.637360422588725,0.575672075541446,0.599506280666745,0.607879087009278,0.670639570008575,0.660854636309835,0.616286781053076,0.674468381234838,0.648806247383916,0,0.135426951521507,0.139159754185453,0.211472758660738,0.147945428876788,0.0431770868755086,0.228231689960851,0.102317452882947,0.312842662220027,0.233993620002609,0.165066215963047,0.224298789420179,0.0817369756141543,0.195418000728406,0.201866105001523,0.138492226195621,0.196565781572419,0.0651161594633541,0.203003904988207,0.292286556855954,0.196311167524139,0.224029542135231
